,date,time,ans,InputID,story_num,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,strategy,counts,strategy_jdg
300,2017/10/16,14:50:29,321,31710061,3,2,4,3,CHECK,0,0,1,2,3,1508133013,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2_4,n,45,n_s
305,2017/10/16,14:50:44,321,31710061,3,2,5,3,CHECK,0,0,1,2,3,1508133030,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_5,F*,45,F*_s
313,2017/10/16,14:51:05,123,31710061,3,3,1,5,CHECK,0,0,3,2,1,1508133046,1,f,0,1,1,1,1,4,1,,,,,,,,,,,3_3_1,n,45,n_f
357,2017/10/16,14:52:21,231,31710061,3,3,2,9,CHECK,0,0,1,3,2,1508133120,1,f,0,1,1,1,1,4,1,,,,,,,,,,,3_3_2,n,45,n_f
424,2017/10/16,14:55:05,321,31710061,3,3,3,3,CHECK,0,0,1,2,3,1508133298,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_3_3,s,45,s_s
433,2017/10/16,14:55:22,321,31710061,3,3,4,7,CHECK,0,0,1,2,3,1508133306,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3_4,n,45,n_s
440,2017/10/16,14:55:33,321,31710061,3,3,5,5,CHECK,0,0,1,2,3,1508133322,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3_5,n,45,n_s
196,2017/11/06,14:43:24,321,31710061,5,1,1,7,CHECK,0,0,1,2,3,1509946968,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_1,n,45,n_s
202,2017/11/06,14:43:37,321,31710061,5,1,2,3,CHECK,0,0,1,2,3,1509947004,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_2,n,45,n_s
208,2017/11/06,14:43:49,321,31710061,5,1,3,3,CHECK,0,0,1,2,3,1509947018,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_3,r,45,r_s
214,2017/11/06,14:44:01,321,31710061,5,1,4,3,CHECK,0,0,1,2,3,1509947030,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_4,r,45,r_s
220,2017/11/06,14:44:11,321,31710061,5,1,5,3,CHECK,0,0,1,2,3,1509947042,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_5,F*,45,F*_s
226,2017/11/06,14:44:26,321,31710061,5,2,1,3,CHECK,0,0,1,2,3,1509947053,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_1,n,45,n_s
234,2017/11/06,14:44:42,321,31710061,5,2,2,5,CHECK,0,0,1,2,3,1509947066,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_2,n,45,n_s
240,2017/11/06,14:44:48,321,31710061,5,2,3,3,CHECK,0,0,1,2,3,1509947083,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_2_3,F*,45,F*_s
246,2017/11/06,14:44:58,321,31710061,5,2,4,3,CHECK,0,0,1,2,3,1509947089,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_4,n,45,n_s
252,2017/11/06,14:45:07,321,31710061,5,2,5,3,CHECK,0,0,1,2,3,1509947099,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_2_5,F*,45,F*_s
276,2017/11/06,14:45:44,213,31710061,5,3,1,21,CHECK,0,0,3,1,2,1509947109,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_3_1,n,45,n_s
288,2017/11/06,14:46:02,213,31710061,5,3,2,9,CHECK,0,0,3,1,2,1509947144,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,5_3_2,s,45,s_s
294,2017/11/06,14:46:09,213,31710061,5,3,3,3,CHECK,0,0,3,1,2,1509947162,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_3_3,F*,45,F*_s
300,2017/11/06,14:46:17,253,31710061,5,3,4,3,CHECK,0,0,3,5,2,1509947170,1,f,0,0,1,0,0,1,1,,,,,,,,,,F*,5_3_4,F*,45,F*_f
309,2017/11/06,14:46:44,253,31710061,5,3,5,3,CHECK,0,0,3,5,2,1509947185,1,f,0,0,1,0,0,1,1,,,,,,,,,r,,5_3_5,r,45,r_f
221,2017/10/09,15:41:57,326,31610012,2,1,1,3,CHECK,0,0,6,2,3,1507531309,1,f,0,1,1,1,0,3,1,,,,,,,,,,F*,2_1_1,F*,15,F*_f
229,2017/10/09,15:42:13,341,31610012,2,1,2,3,CHECK,0,0,1,4,3,1507531324,1,f,0,1,1,1,0,3,1,,,,,,,,,,F*,2_1_2,F*,15,F*_f
239,2017/10/09,15:42:27,321,31610012,2,1,3,5,CHECK,0,0,1,2,3,1507531338,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_3,n,15,n_s
244,2017/10/09,15:42:34,326,31610012,2,1,4,3,CHECK,0,0,6,2,3,1507531348,1,f,0,1,1,1,0,3,1,,,,,,,,,,F*,2_1_4,F*,15,F*_f
256,2017/10/09,15:42:55,321,31610012,2,1,5,5,CHECK,0,0,1,2,3,1507531365,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_5,F*,15,F*_s
263,2017/10/09,15:43:14,526,31610012,2,2,1,5,CHECK,0,0,6,2,5,1507531378,1,f,0,0,1,1,0,2,1,,,,,,,,,,F*,2_2_1,F*,15,F*_f
278,2017/10/09,15:44:34,321,31610012,2,2,2,7,CHECK,0,0,1,2,3,1507531422,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_2_2,n,15,n_s
283,2017/10/09,15:44:47,321,31610012,2,2,3,3,CHECK,0,0,1,2,3,1507531475,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2_3,F*,15,F*_s
290,2017/10/09,15:44:58,321,31610012,2,2,4,5,CHECK,0,0,1,2,3,1507531487,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2_4,F*,15,F*_s
295,2017/10/09,15:45:06,321,31610012,2,2,5,3,CHECK,0,0,1,2,3,1507531499,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,2_2_5,s,15,s_s
302,2017/10/09,15:45:34,125,31610012,2,3,1,5,CHECK,0,0,5,2,1,1507531509,1,f,0,0,1,1,1,3,1,,,,,,,,,r,,2_3_1,r,15,r_f
329,2017/10/09,15:47:00,643,31610012,2,3,2,5,CHECK,0,0,3,4,6,1507531611,1,f,0,1,1,1,0,3,1,,,,,,,,,r,,2_3_2,r,15,r_f
339,2017/10/09,15:47:19,123,31610012,2,3,3,3,CHECK,0,0,3,2,1,1507531628,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_3,r,15,r_s
344,2017/10/09,15:47:30,143,31610012,2,3,4,3,CHECK,0,0,3,4,1,1507531640,1,f,0,1,1,1,0,3,1,,,,,,,,,r,,2_3_4,r,15,r_f
352,2017/10/09,15:47:44,123,31610012,2,3,5,3,CHECK,0,0,3,2,1,1507531655,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_5,r,15,r_s
359,2017/10/09,15:03:55,321,31610158,2,1,1,5,CHECK,0,0,1,2,3,1507529022,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_1,n,45,n_s
366,2017/10/09,15:04:15,321,31610158,2,1,2,5,CHECK,0,0,1,2,3,1507529037,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_2,F*,45,F*_s
375,2017/10/09,15:04:40,321,31610158,2,1,3,7,CHECK,0,0,1,2,3,1507529055,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_3,r,45,r_s
380,2017/10/09,15:04:54,321,31610158,2,1,4,3,CHECK,0,0,1,2,3,1507529080,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_4,r,45,r_s
385,2017/10/09,15:05:10,321,31610158,2,1,5,3,CHECK,0,0,1,2,3,1507529095,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_5,r,45,r_s
392,2017/10/09,15:05:38,321,31610158,2,2,1,5,CHECK,0,0,1,2,3,1507529114,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_1,r,45,r_s
397,2017/10/09,15:05:57,321,31610158,2,2,2,3,CHECK,0,0,1,2,3,1507529139,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_2,r,45,r_s
402,2017/10/09,15:06:11,321,31610158,2,2,3,3,CHECK,0,0,1,2,3,1507529157,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_3,r,45,r_s
407,2017/10/09,15:06:23,321,31610158,2,2,4,3,CHECK,0,0,1,2,3,1507529171,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_4,r,45,r_s
412,2017/10/09,15:06:36,321,31610158,2,2,5,3,CHECK,0,0,1,2,3,1507529184,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_5,r,45,r_s
421,2017/10/09,15:07:22,312,31610158,2,3,1,7,CHECK,0,0,2,1,3,1507529201,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_1,r,45,r_s
426,2017/10/09,15:07:41,321,31610158,2,3,2,3,CHECK,0,0,1,2,3,1507529242,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_2,r,45,r_s
431,2017/10/09,15:08:01,321,31610158,2,3,3,3,CHECK,0,0,1,2,3,1507529262,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_3,r,45,r_s
438,2017/10/09,15:08:19,321,31610158,2,3,4,5,CHECK,0,0,1,2,3,1507529282,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_4,r,45,r_s
443,2017/10/09,15:08:32,321,31610158,2,3,5,3,CHECK,0,0,1,2,3,1507529300,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_5,r,45,r_s
1180,2017/10/30,14:15:43,321,31610158,4,1,1,3,CHECK,0,0,1,2,3,1509340528,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_1,F*,45,F*_s
1186,2017/10/30,14:16:01,321,31610158,4,1,2,3,CHECK,0,0,1,2,3,1509340543,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_2,F*,45,F*_s
